Anio,Pais,Promedio_temperatura_c,Emisiones_CO2_TonXHab,Energia_renovable_Pct,Eventos_Extremos,Precipitaciones_mm,Area_Forestal_Pct,Aumento_Nivel_Mar_mm,Poblacion
2019,Argentina,23.8,8.9,25.9,10,891.0,46.5,4.7,1120533308
2020,Argentina,8.4,6.5,47.0,8,990.0,68.5,3.5,1225881222
2020,Argentina,9.2,11.8,43.3,4,2281.0,61.3,4.7,817572573
2020,Argentina,11.1,15.4,5.4,4,826.0,23.8,2.3,210449747
2021,Argentina,21.0,9.7,42.3,1,829.0,14.3,2.6,432913646
2021,Argentina,13.9,16.3,11.8,1,2612.0,29.0,1.7,46153952
2021,Argentina,12.9,3.6,41.1,4,2407.0,34.4,4.7,809907325
2022,Argentina,27.7,0.7,21.7,13,1954.0,32.7,1.9,1096617947
2022,Argentina,7.2,18.9,17.8,0,877.0,22.5,4.6,545401489
2023,Argentina,30.2,18.1,32.7,12,2930.0,64.1,4.4,542661199
2023,Argentina,22.4,4.4,49.5,11,2857.0,44.2,1.0,94830920
2023,Argentina,20.3,8.6,39.1,8,1116.0,66.0,3.6,599934182
2023,Argentina,13.0,6.2,21.3,0,1472.0,23.7,4.9,935533058
2023,Argentina,29.0,18.3,25.7,8,2435.0,10.3,4.5,536217615
2023,Argentina,8.9,18.1,47.2,14,2180.0,30.5,3.0,361616455
2000,Australia,8.3,12.1,42.4,13,2195.0,63.2,1.1,353488527
2000,Australia,11.4,2.2,12.0,4,1071.0,50.9,1.8,1388230143
2000,Australia,16.1,17.1,22.3,12,2834.0,60.3,3.9,753610692
2001,Australia,18.4,11.7,20.2,1,1962.0,58.4,5.0,66141905
2001,Australia,19.4,7.3,29.8,12,1370.0,22.7,1.9,1268489003
2002,Australia,20.6,1.1,20.9,6,2383.0,65.3,2.6,31674998
2002,Australia,15.3,8.3,36.4,6,2519.0,13.3,1.7,1235851188
2002,Australia,23.3,8.0,22.0,13,642.0,30.3,4.0,40028538
2002,Australia,32.9,18.2,19.6,6,1673.0,34.6,3.3,790364317
2003,Australia,23.1,4.7,33.0,5,2215.0,61.5,4.3,970758730
2003,Australia,20.0,18.6,31.8,5,2830.0,43.9,1.7,621558597
2003,Australia,24.1,16.9,6.5,4,1945.0,26.2,3.6,366223269
2004,Australia,23.2,12.9,5.9,4,1361.0,42.7,3.2,1359133613
2004,Australia,7.7,8.6,8.3,4,534.0,35.1,1.1,1027559585
2004,Australia,22.8,14.1,21.3,12,1418.0,41.4,2.2,217927603
2004,Australia,9.2,1.1,34.4,0,708.0,34.9,2.5,212718211
2004,Australia,10.2,1.7,34.1,12,1962.0,40.7,2.4,517404742
2005,Australia,34.4,4.0,15.6,9,2014.0,67.1,4.8,748486965
2006,Australia,20.4,1.8,39.6,0,773.0,26.3,3.6,174232548
2008,Australia,20.3,4.8,15.5,14,2484.0,16.8,2.8,1362033433
2008,Australia,18.1,12.2,49.7,1,1023.0,58.6,3.2,1086928352
2010,Australia,18.3,1.9,7.5,5,2599.0,48.7,3.5,849496137
2010,Australia,16.9,1.0,47.9,7,1973.0,23.5,3.5,373401883
2010,Australia,30.3,9.0,6.2,7,2367.0,57.6,4.5,1151520192
2011,Australia,5.5,11.7,41.7,5,880.0,40.9,4.0,966063065
2011,Australia,19.8,13.5,12.9,1,2053.0,67.6,2.6,444296725
2011,Australia,17.5,15.1,19.9,5,1613.0,60.1,2.2,1058333501
2011,Australia,20.8,11.4,47.8,10,2625.0,10.9,2.1,1165547123
2011,Australia,27.2,8.7,49.8,1,2496.0,23.5,4.6,1028924329
2012,Australia,16.1,1.7,8.3,12,2784.0,54.8,3.4,393935884
2012,Australia,18.0,7.6,42.1,2,670.0,59.3,4.3,1014270408
2014,Australia,27.2,2.0,34.8,14,589.0,37.2,3.9,761742932
2015,Australia,6.2,1.5,49.8,6,2271.0,17.0,3.2,428326345
2016,Australia,8.1,8.2,33.2,14,1919.0,54.9,4.7,1297393635
2016,Australia,24.3,15.0,21.8,4,676.0,19.8,4.4,321328118
2016,Australia,32.2,15.8,26.5,8,1657.0,20.8,4.3,751679888
2016,Australia,21.0,14.9,24.5,3,1136.0,44.5,3.1,380662109
2017,Australia,29.0,2.4,13.5,1,1577.0,43.3,2.2,313504125
2017,Australia,23.7,7.9,6.6,5,783.0,32.0,1.4,1190249588
2018,Australia,5.4,9.1,25.1,3,674.0,48.3,2.0,1338375247
2018,Australia,24.1,12.8,6.1,1,1801.0,36.0,3.3,717984590
2018,Australia,10.7,10.3,35.6,3,1715.0,11.5,4.3,1020760264
2018,Australia,34.5,14.6,7.6,6,829.0,27.1,1.3,1211016796
2019,Australia,23.0,7.7,18.0,9,2569.0,21.2,4.3,161618848
2019,Australia,14.9,13.1,34.0,8,2286.0,30.3,3.1,519602850
2019,Australia,23.1,9.5,29.1,9,2369.0,59.5,1.8,165930526
2019,Australia,21.5,5.2,43.4,14,2373.0,63.2,1.5,714759147
2019,Australia,17.3,1.3,41.1,14,2014.0,36.7,3.4,59676502
2020,Australia,34.2,5.9,9.8,8,1852.0,10.9,4.8,1332348555
2020,Australia,6.9,14.6,42.1,4,878.0,33.3,3.9,26451115
2020,Australia,28.5,0.8,13.3,7,628.0,54.9,4.0,1103288537
2020,Australia,11.8,16.1,21.0,6,1721.0,58.4,1.8,977900597
2021,Australia,24.9,4.9,45.8,1,2911.0,68.3,4.1,281959311
2022,Australia,11.1,11.2,35.3,8,756.0,12.4,4.1,325979799
2022,Australia,16.0,5.8,11.6,8,2548.0,65.7,4.4,916438404
2022,Australia,27.9,18.5,10.1,13,1677.0,55.9,3.4,748156329
2023,Australia,11.5,9.2,15.5,5,1910.0,24.4,2.3,1010451727
2000,Brazil,31.2,14.6,28.3,9,803.0,21.7,3.7,255339962
2001,Brazil,26.7,5.1,12.7,14,1270.0,26.8,4.6,694412542
2001,Brazil,7.6,17.6,28.5,11,1714.0,62.5,2.3,552246665
2002,Brazil,11.8,14.0,44.3,13,2976.0,51.0,3.0,367803209
2002,Brazil,19.1,14.5,37.0,14,920.0,20.1,3.1,947263298
2002,Brazil,11.9,4.7,27.0,0,2485.0,16.0,2.9,374520492
2003,Brazil,7.1,9.4,43.6,9,1252.0,36.7,1.9,18750431
2003,Brazil,27.8,16.1,25.7,7,1980.0,45.8,4.7,1047317550
2004,Brazil,16.4,10.1,6.6,7,1641.0,27.7,3.8,681529141
2005,Brazil,34.4,5.0,29.3,3,2132.0,46.9,3.7,104922177
2006,Brazil,32.2,19.4,25.5,1,2626.0,58.8,3.8,1155260147
2006,Brazil,9.9,14.5,35.0,6,1589.0,50.6,1.8,1082347326
2006,Brazil,24.6,1.3,31.4,12,2815.0,15.6,2.5,69840394
2007,Brazil,25.3,19.9,39.9,3,2051.0,24.0,2.3,196111561
2008,Brazil,32.2,14.6,48.7,13,2483.0,48.4,2.6,1107521006
2008,Brazil,16.6,8.1,47.1,4,1110.0,58.7,4.1,698150132
2008,Brazil,27.4,3.9,16.1,3,1858.0,48.6,4.5,79510809
2008,Brazil,19.7,17.0,20.6,5,727.0,67.7,3.2,212780506
2008,Brazil,7.1,0.7,19.8,0,2489.0,45.2,4.4,413504125
2009,Brazil,31.5,9.3,23.7,9,1149.0,15.4,3.6,172465953
2010,Brazil,34.4,3.2,40.9,0,773.0,50.2,3.2,1263782460
2010,Brazil,13.0,14.0,17.3,1,1115.0,15.6,4.5,1060152685
2010,Brazil,12.1,12.3,10.3,9,2205.0,34.9,2.2,56127465
2010,Brazil,5.0,15.8,21.0,12,2329.0,32.9,5.0,909090341
2010,Brazil,17.6,16.0,18.7,4,1920.0,52.3,3.1,584023989
2011,Brazil,26.7,5.6,28.3,2,1121.0,17.7,4.0,267058271
2011,Brazil,14.7,9.2,25.2,8,880.0,28.3,1.2,661509073
2011,Brazil,5.3,17.8,41.2,5,1621.0,63.0,2.7,1361023908
2011,Brazil,22.7,0.7,43.3,14,2507.0,43.7,4.6,1297261375
2011,Brazil,24.7,13.6,6.3,11,2372.0,18.1,2.8,1091856204
2011,Brazil,34.2,18.7,18.6,7,2579.0,25.7,3.2,803907356
2011,Brazil,29.0,1.5,7.8,13,2471.0,62.5,3.6,959148511
2012,Brazil,8.2,19.1,48.6,4,2308.0,50.8,1.9,294211471
2012,Brazil,26.8,6.9,45.8,13,2067.0,18.2,3.1,615628540
2012,Brazil,32.5,8.8,48.3,1,2459.0,12.1,1.5,802778534
2013,Brazil,20.7,14.8,29.5,13,1691.0,51.1,3.1,792568468
2013,Brazil,28.8,17.7,17.8,5,2169.0,50.3,4.6,481755340
2013,Brazil,20.2,11.2,21.0,10,2353.0,29.5,1.7,420231924
2014,Brazil,24.1,12.8,41.1,4,2440.0,40.8,2.9,246829711
2014,Brazil,34.9,17.4,16.6,0,2371.0,18.0,2.4,1269827972
2014,Brazil,30.9,10.2,12.9,11,771.0,48.9,3.5,617520058
2014,Brazil,6.4,0.9,46.4,7,725.0,57.4,3.3,558731629
2015,Brazil,28.9,20.0,12.2,7,2017.0,47.8,3.5,1213528698
2015,Brazil,6.6,8.6,15.2,5,772.0,31.5,4.5,925802277
2016,Brazil,28.1,16.9,26.9,12,934.0,43.3,4.9,1393981934
2016,Brazil,18.5,13.4,46.0,6,615.0,15.3,1.4,297280556
2016,Brazil,33.1,10.3,30.3,8,1933.0,67.7,2.3,245823381
2016,Brazil,17.0,4.9,47.4,8,1347.0,28.8,4.5,1221021496
2016,Brazil,26.6,0.7,12.7,7,1492.0,38.8,2.4,83325440
2017,Brazil,7.7,18.2,27.1,8,1579.0,61.0,1.2,9355425
2017,Brazil,23.4,1.4,13.8,10,2795.0,22.4,3.6,958819872
2017,Brazil,8.8,10.8,30.8,0,2052.0,55.5,4.8,1256199697
2018,Brazil,30.8,0.6,40.4,7,2267.0,53.6,2.4,1247636178
2018,Brazil,16.4,3.0,9.1,5,2164.0,19.8,3.9,446630103
2018,Brazil,12.0,12.3,37.6,3,2832.0,25.0,3.8,856099723
2018,Brazil,12.5,18.0,37.3,8,2394.0,35.8,4.1,32747976
2018,Brazil,9.8,0.5,20.6,5,656.0,51.3,1.0,239135473
2019,Brazil,21.0,19.8,34.7,5,1519.0,63.4,1.5,341217904
2020,Brazil,26.7,12.2,46.8,0,762.0,69.1,1.8,1106863791
2020,Brazil,23.8,6.0,25.9,2,956.0,52.2,3.4,1246729629
2020,Brazil,21.0,12.3,43.4,10,2556.0,42.6,3.7,1042719729
2020,Brazil,14.1,3.3,31.1,5,1573.0,26.3,2.1,1391047250
2020,Brazil,31.2,14.7,37.4,1,1020.0,27.2,4.1,937363773
2021,Brazil,27.5,14.6,14.8,9,2320.0,59.3,3.2,552258722
2022,Brazil,18.4,9.5,30.3,12,1691.0,36.2,4.6,302427829
2023,Brazil,24.4,14.0,49.1,14,2042.0,40.8,4.3,55101132
2023,Brazil,14.3,12.2,10.1,7,2661.0,40.0,1.1,743306453
2000,Canada,23.5,7.0,46.5,5,2006.0,39.0,2.8,584732301
2000,Canada,14.4,1.2,16.5,14,527.0,52.7,3.1,496479467
2000,Canada,22.8,9.6,14.4,12,720.0,30.5,2.5,248996061
2000,Canada,16.5,17.6,13.6,3,2279.0,46.2,2.2,329517333
2001,Canada,21.3,12.7,21.3,3,1944.0,26.2,3.3,1189649940
2001,Canada,21.2,14.9,32.9,0,1048.0,67.3,4.0,535387911
2002,Canada,27.3,19.1,23.9,9,2052.0,60.0,2.4,66735271
2002,Canada,18.3,11.5,21.0,11,2538.0,12.3,3.5,1386998486
2002,Canada,15.8,13.8,12.6,12,1826.0,20.3,4.5,614382775
2002,Canada,12.1,0.9,42.6,1,2659.0,17.6,1.5,45925925
2002,Canada,33.7,2.4,18.6,5,1674.0,29.1,3.3,1146777310
2002,Canada,19.9,10.8,20.2,13,1969.0,27.5,2.0,449460600
2002,Canada,21.7,17.3,14.8,14,1831.0,68.5,3.0,461516676
2002,Canada,32.0,17.4,47.0,11,1602.0,38.8,3.0,1182222401
2003,Canada,11.6,15.2,31.8,0,2798.0,58.3,1.9,625984226
2004,Canada,10.2,8.4,45.2,14,941.0,43.4,3.2,152248022
2004,Canada,15.8,8.0,35.0,2,2154.0,65.9,4.9,552912628
2004,Canada,19.2,5.5,36.8,7,1455.0,67.7,1.8,60556258
2004,Canada,34.2,0.8,48.3,6,2744.0,35.7,3.6,94344322
2005,Canada,8.4,11.9,24.2,2,2189.0,39.3,4.7,864707568
2005,Canada,19.3,13.0,38.4,14,1204.0,12.5,4.8,978026054
2005,Canada,20.6,3.5,25.9,8,2838.0,62.8,4.1,1138205296
2005,Canada,13.2,5.9,44.7,4,2872.0,46.2,3.6,1257944094
2005,Canada,9.5,6.3,8.2,1,2560.0,69.5,2.3,904452825
2005,Canada,25.9,8.1,15.8,9,2361.0,64.8,3.1,393359182
2005,Canada,16.4,5.8,19.2,10,1045.0,13.6,3.7,700477453
2006,Canada,31.3,11.2,40.7,7,1772.0,20.6,3.6,847822613
2006,Canada,12.0,9.4,30.6,7,2249.0,67.2,1.2,1330161573
2006,Canada,6.6,4.9,29.8,14,1012.0,39.0,2.8,459323770
2007,Canada,26.7,14.7,25.1,6,876.0,37.0,1.4,475005508
2007,Canada,32.1,5.5,12.4,12,1388.0,57.6,4.0,73639916
2008,Canada,5.6,16.7,17.8,14,2655.0,39.8,3.9,428691595
2008,Canada,10.9,10.8,13.8,14,2957.0,22.8,2.9,416299975
2008,Canada,27.4,13.5,20.0,8,2999.0,41.8,3.9,108305812
2009,Canada,24.1,15.3,49.4,8,557.0,43.6,3.2,915322799
2010,Canada,5.5,13.7,44.3,9,2145.0,52.4,4.8,72556185
2012,Canada,14.0,1.4,31.4,14,1229.0,54.1,2.8,1225949571
2012,Canada,24.2,18.0,16.0,4,2435.0,67.6,3.3,240259011
2012,Canada,11.4,11.6,24.9,3,1667.0,64.4,2.7,276284677
2012,Canada,28.5,12.3,7.7,0,1759.0,12.9,4.6,232840139
2012,Canada,8.8,9.5,26.0,4,1608.0,16.7,2.1,1007525728
2013,Canada,22.6,2.8,17.7,7,2580.0,51.9,4.5,531451276
2013,Canada,11.9,18.8,36.6,10,2442.0,43.8,2.0,254618460
2013,Canada,10.7,18.7,46.4,3,1027.0,53.6,4.6,1167788803
2013,Canada,16.6,14.6,7.4,14,1065.0,32.5,1.5,956249631
2013,Canada,9.7,19.1,16.8,8,1438.0,24.6,1.8,1141561184
2013,Canada,6.0,14.2,18.3,0,1641.0,36.6,2.5,717609187
2014,Canada,24.8,11.7,47.9,5,2839.0,59.1,1.2,1211830133
2014,Canada,30.4,10.9,37.2,10,692.0,54.7,4.1,778188462
2015,Canada,25.4,4.5,10.9,11,2286.0,46.7,4.6,646048990
2016,Canada,32.2,2.7,28.1,3,1179.0,44.8,2.8,343865425
2016,Canada,9.5,6.2,38.5,1,744.0,18.5,3.7,355644712
2016,Canada,27.3,11.1,41.5,1,2405.0,54.1,3.1,574525178
2016,Canada,31.2,8.4,27.9,2,2972.0,36.3,1.8,695971780
2017,Canada,16.3,2.3,17.1,9,2458.0,63.9,3.4,1391480145
2017,Canada,14.7,12.1,43.6,5,2098.0,57.5,3.5,1143896678
2018,Canada,29.8,14.5,32.3,10,1531.0,47.9,1.9,298239516
2018,Canada,34.0,1.1,41.8,0,647.0,29.7,1.6,670245096
2019,Canada,21.8,1.0,5.8,1,2524.0,51.0,4.9,1395185778
2019,Canada,29.5,9.5,5.5,12,2618.0,53.4,4.6,968769498
2020,Canada,33.3,19.4,36.2,12,2011.0,15.7,4.1,117312606
2021,Canada,25.1,17.0,10.7,14,1949.0,12.2,2.0,1268064913
2021,Canada,13.3,10.3,13.6,9,1045.0,11.7,1.8,347844379
2022,Canada,28.7,5.9,15.9,8,2726.0,46.0,2.0,599372628
2023,Canada,10.7,10.9,37.4,12,725.0,27.6,3.5,1243293089
2023,Canada,28.0,8.3,6.5,3,1148.0,54.3,5.0,338334548
2023,Canada,23.4,4.5,7.5,5,971.0,28.2,3.8,1380296219
2000,China,18.3,3.7,30.9,13,2090.0,39.3,1.8,521491291
2000,China,31.0,3.4,43.2,5,1842.0,36.7,3.3,1076162478
2000,China,28.8,5.2,29.6,2,1398.0,49.7,1.0,385683145
2000,China,26.7,15.4,43.0,1,2066.0,52.4,2.7,784881916
2001,China,27.4,19.0,42.9,12,2416.0,19.2,3.9,171927360
2003,China,28.3,12.3,14.5,4,2764.0,40.8,2.6,205087750
2003,China,7.5,9.7,16.6,1,1964.0,36.0,1.1,502277267
2003,China,33.2,4.5,9.8,12,2718.0,53.2,4.9,1102285590
2003,China,7.4,5.7,44.0,14,2350.0,42.5,3.5,1134255035
2003,China,33.7,18.6,35.3,5,2007.0,39.0,1.2,757020571
2004,China,21.3,10.3,14.5,5,1880.0,11.2,3.4,825442314
2004,China,33.9,7.4,40.5,11,1951.0,26.5,3.0,247496090
2004,China,29.8,14.6,42.2,9,2105.0,45.2,2.1,206788510
2004,China,10.8,13.0,40.2,6,2852.0,22.4,2.4,34357473
2004,China,9.9,9.2,47.4,0,1498.0,51.3,2.0,350813108
2006,China,9.5,8.3,16.9,3,2865.0,47.6,1.1,945299929
2006,China,13.5,12.7,23.5,10,2626.0,69.4,3.8,1011298802
2007,China,20.8,1.7,30.4,10,2251.0,16.8,3.4,1203797363
2007,China,8.3,10.5,12.1,6,941.0,45.2,3.7,124297006
2007,China,5.4,13.7,35.1,12,1857.0,57.6,2.9,115282073
2008,China,34.8,19.8,20.2,9,904.0,53.5,2.8,1119409767
2010,China,11.6,9.7,31.0,14,2444.0,60.2,2.1,946279632
2010,China,30.9,12.1,17.0,5,2915.0,62.1,2.0,3660891
2010,China,13.3,13.5,36.2,0,772.0,65.7,3.5,400506741
2011,China,6.6,16.6,34.3,0,2022.0,44.8,2.3,189064050
2011,China,5.6,3.0,33.3,9,978.0,14.9,4.8,883572947
2011,China,27.1,13.7,10.5,3,2562.0,44.6,3.4,1024446336
2011,China,22.2,13.9,33.7,13,678.0,32.9,3.6,1175564118
2011,China,28.4,13.0,5.4,0,1907.0,42.0,1.9,276902589
2012,China,17.2,11.1,39.7,8,921.0,67.2,2.8,560862422
2012,China,30.0,15.8,47.2,6,1007.0,37.8,2.6,144123536
2012,China,12.7,20.0,46.0,11,2701.0,57.3,4.1,1014597705
2013,China,14.4,1.5,18.6,13,1359.0,12.9,4.2,709386257
2014,China,7.6,10.2,10.1,1,577.0,12.0,3.2,316387268
2015,China,10.1,18.4,22.0,10,1087.0,65.6,3.4,1250306574
2015,China,20.4,15.4,14.2,0,1969.0,69.9,1.6,227429665
2015,China,28.8,11.3,19.4,14,1085.0,30.1,3.0,674280911
2016,China,32.4,4.8,31.8,9,759.0,41.1,3.2,1358197397
2016,China,16.9,10.0,41.8,3,2669.0,24.3,1.5,776918225
2016,China,10.1,2.8,39.8,12,2595.0,17.7,3.5,733130914
2016,China,19.9,1.1,30.2,9,1034.0,56.7,1.9,438565972
2017,China,16.9,15.9,23.3,4,1297.0,53.3,2.6,456955256
2017,China,15.7,9.7,35.1,13,2019.0,41.0,1.8,305543477
2017,China,23.5,2.5,33.9,9,652.0,35.3,4.4,165154106
2017,China,29.8,11.4,46.7,6,2868.0,59.2,4.2,600974146
2018,China,19.4,5.5,12.4,5,1936.0,56.3,3.3,275361525
2018,China,22.3,6.4,47.1,11,1950.0,39.4,4.0,563892519
2018,China,14.7,13.0,17.9,14,690.0,62.3,2.2,931316975
2018,China,24.8,4.7,25.7,14,2105.0,16.5,1.9,341648458
2018,China,18.1,11.4,23.9,5,1802.0,64.6,1.9,792341941
2018,China,34.4,15.8,37.8,13,2734.0,50.3,3.6,305046905
2019,China,31.7,12.9,6.8,1,1891.0,50.2,2.4,136202316
2019,China,10.0,16.4,35.5,0,2298.0,55.7,3.5,608237759
2020,China,32.3,1.4,49.4,12,2100.0,47.2,2.7,1202028857
2020,China,19.1,19.8,12.8,0,2152.0,24.1,4.0,1074542897
2020,China,22.7,3.2,19.4,0,812.0,44.8,4.1,491426196
2020,China,11.8,16.8,45.0,8,2881.0,43.8,4.0,573451526
2020,China,10.2,17.1,27.3,9,2227.0,67.1,1.1,738275078
2021,China,29.7,12.6,44.0,9,890.0,31.3,2.1,334345649
2021,China,18.3,10.8,28.7,7,2177.0,29.6,3.1,393241030
2021,China,14.4,14.3,29.7,13,1298.0,60.7,4.3,222866661
2022,China,22.8,17.2,25.3,2,1890.0,61.3,1.8,97623054
2022,China,17.9,13.7,21.9,12,2255.0,53.8,4.4,804974926
2022,China,28.6,8.9,35.9,13,1864.0,30.4,3.6,1090719866
2023,China,22.5,6.6,16.4,13,1088.0,67.7,3.8,554504868
2023,China,12.0,16.9,21.0,3,2520.0,59.9,2.8,508830032
2023,China,28.8,4.5,33.8,9,1108.0,47.2,3.7,1180278134
2000,France,12.6,19.9,29.6,14,1056.0,41.8,1.3,400673293
2000,France,28.3,4.8,24.4,6,1990.0,52.9,3.4,61481382
2000,France,8.9,19.1,44.7,14,2413.0,54.4,3.7,178651192
2001,France,27.0,13.3,38.5,14,2989.0,64.6,4.4,1018260723
2002,France,9.4,19.0,7.0,2,2202.0,57.0,3.7,1080854924
2002,France,30.4,11.9,32.8,1,2878.0,44.3,4.7,193419191
2002,France,30.8,19.3,25.6,6,2408.0,14.5,2.6,1193787532
2003,France,25.8,11.0,33.2,14,1319.0,27.9,4.0,458944956
2003,France,19.5,11.6,26.8,13,610.0,60.3,4.2,413929509
2003,France,11.0,7.1,34.3,14,1207.0,23.5,2.8,1151159927
2004,France,31.4,15.6,10.7,11,2321.0,34.1,1.2,663371850
2004,France,10.0,5.8,7.4,3,1488.0,58.3,3.5,1182846641
2005,France,29.7,18.6,21.5,11,1501.0,63.4,2.5,1030270792
2006,France,24.7,16.7,20.4,8,1769.0,13.3,2.8,730089798
2006,France,9.8,16.0,47.8,1,1664.0,23.3,2.7,1278299069
2006,France,14.7,13.5,42.9,2,2138.0,26.2,3.8,690916097
2007,France,21.3,5.5,48.5,1,2327.0,69.0,2.4,141991057
2007,France,34.8,17.1,27.2,12,1964.0,66.6,2.8,1335512175
2007,France,25.4,7.1,8.3,11,2438.0,62.5,4.1,444435735
2008,France,7.9,12.9,39.5,12,1096.0,68.9,2.7,148647462
2008,France,6.5,11.0,44.7,10,526.0,47.6,1.4,76154255
2008,France,24.6,18.3,20.5,13,2851.0,58.9,2.3,460686642
2009,France,8.4,17.9,39.3,5,839.0,57.1,1.6,619079995
2010,France,14.0,2.9,17.1,14,1085.0,65.9,2.1,218199220
2011,France,21.7,5.2,33.1,14,1181.0,54.4,2.6,1214544133
2012,France,28.4,3.2,42.4,6,871.0,12.7,4.8,226805324
2012,France,6.3,10.1,24.6,14,1347.0,55.8,1.1,1318582449
2012,France,27.7,17.8,17.1,3,2122.0,52.3,1.9,1117897844
2012,France,5.2,2.8,17.2,3,1742.0,11.1,2.1,313545957
2012,France,5.9,4.6,5.1,10,979.0,36.8,2.6,699195057
2013,France,8.7,6.1,30.5,12,2039.0,21.3,3.1,72414944
2013,France,12.7,9.8,47.6,0,1658.0,40.0,3.9,1199331484
2013,France,23.2,19.0,31.6,13,1287.0,24.4,4.7,458035062
2014,France,33.9,2.8,33.3,9,1241.0,35.5,2.2,441101758
2014,France,15.8,14.1,35.6,3,2282.0,53.0,2.7,1280929698
2014,France,26.2,16.9,8.2,3,2744.0,26.3,1.0,140376298
2014,France,34.7,8.2,23.6,14,1884.0,16.3,4.2,81521377
2014,France,14.7,5.4,24.1,13,2933.0,20.3,4.7,1151040277
2014,France,25.6,6.2,27.1,11,645.0,25.0,1.0,93966977
