Anio,Decada,Pais,Continente,Promedio_temperatura_c,Categoria_temperatura,Emisiones_CO2_TonXHab,Energia_renovable_Pct,Nivel_energia_renovable,Eventos_Extremos,Precipitaciones_mm,Area_Forestal_Pct,Aumento_Nivel_Mar_mm,Poblacion
2009,2000s,Argentina,América del Sur,8.8,Fría,1.4,28.3,Medio,5,963.0,33.0,3.7,1344612647
2009,2000s,Argentina,América del Sur,20.1,Cálida,1.5,40.1,Alto,11,1934.0,61.1,4.3,380527763
2009,2000s,Argentina,América del Sur,34.6,Muy cálida,7.0,15.1,Bajo,0,2634.0,46.3,2.8,1283287571
2010,2010s,Argentina,América del Sur,5.9,Fría,1.8,23.7,Medio,7,1892.0,17.7,3.2,1069669579
2010,2010s,Argentina,América del Sur,24.5,Cálida,13.6,14.9,Bajo,7,1007.0,67.3,1.2,200316893
2012,2010s,Argentina,América del Sur,21.3,Cálida,1.0,37.5,Medio,12,656.0,11.1,3.8,449021301
2012,2010s,Argentina,América del Sur,20.6,Cálida,15.7,5.4,Bajo,3,678.0,22.6,1.2,927578734
2013,2010s,Argentina,América del Sur,25.4,Cálida,9.2,43.9,Alto,14,2881.0,30.9,3.7,1075399963
2013,2010s,Argentina,América del Sur,29.6,Cálida,17.2,21.1,Medio,9,1172.0,21.6,4.4,994673524
2013,2010s,Argentina,América del Sur,23.0,Cálida,0.9,40.7,Alto,7,897.0,48.6,3.0,1152666411
2013,2010s,Argentina,América del Sur,23.9,Cálida,10.9,8.5,Bajo,10,1567.0,21.8,1.4,537312924
2013,2010s,Argentina,América del Sur,34.7,Muy cálida,7.4,9.4,Bajo,0,698.0,31.6,5.0,785566655
2014,2010s,Argentina,América del Sur,33.4,Muy cálida,16.4,13.7,Bajo,0,2618.0,63.3,3.9,796318481
2014,2010s,Argentina,América del Sur,25.9,Cálida,7.6,21.4,Medio,0,2005.0,66.3,4.2,441359567
2014,2010s,Argentina,América del Sur,19.8,Templada,19.6,9.6,Bajo,6,2244.0,24.5,1.2,1209870465
2015,2010s,Argentina,América del Sur,20.7,Cálida,12.8,50.0,Alto,3,2761.0,19.4,4.3,455823356
2016,2010s,Argentina,América del Sur,7.2,Fría,16.7,28.7,Medio,3,1796.0,50.8,5.0,1353028485
2016,2010s,Argentina,América del Sur,21.2,Cálida,8.1,22.3,Medio,2,1819.0,45.3,1.9,395181795
2018,2010s,Argentina,América del Sur,34.6,Muy cálida,10.7,45.0,Alto,3,1547.0,46.5,4.6,298632383
2018,2010s,Argentina,América del Sur,27.6,Cálida,14.5,49.9,Alto,5,2672.0,60.3,4.8,555420966
2018,2010s,Argentina,América del Sur,24.7,Cálida,17.8,24.7,Medio,8,2037.0,22.3,4.0,740582553
2019,2010s,Argentina,América del Sur,21.5,Cálida,6.5,19.8,Bajo,7,1779.0,68.6,1.1,781668712
2019,2010s,Argentina,América del Sur,11.8,Templada,3.4,49.1,Alto,8,2949.0,49.1,1.8,697781804
2019,2010s,Argentina,América del Sur,23.8,Cálida,8.9,25.9,Medio,10,891.0,46.5,4.7,1120533308
2020,2020s,Argentina,América del Sur,8.4,Fría,6.5,47.0,Alto,8,990.0,68.5,3.5,1225881222
2020,2020s,Argentina,América del Sur,9.2,Fría,11.8,43.3,Alto,4,2281.0,61.3,4.7,817572573
2020,2020s,Argentina,América del Sur,11.1,Templada,15.4,5.4,Bajo,4,826.0,23.8,2.3,210449747
2021,2020s,Argentina,América del Sur,21.0,Cálida,9.7,42.3,Alto,1,829.0,14.3,2.6,432913646
2021,2020s,Argentina,América del Sur,13.9,Templada,16.3,11.8,Bajo,1,2612.0,29.0,1.7,46153952
2021,2020s,Argentina,América del Sur,12.9,Templada,3.6,41.1,Alto,4,2407.0,34.4,4.7,809907325
2022,2020s,Argentina,América del Sur,27.7,Cálida,0.7,21.7,Medio,13,1954.0,32.7,1.9,1096617947
2022,2020s,Argentina,América del Sur,7.2,Fría,18.9,17.8,Bajo,0,877.0,22.5,4.6,545401489
2023,2020s,Argentina,América del Sur,30.2,Muy cálida,18.1,32.7,Medio,12,2930.0,64.1,4.4,542661199
2023,2020s,Argentina,América del Sur,22.4,Cálida,4.4,49.5,Alto,11,2857.0,44.2,1.0,94830920
2023,2020s,Argentina,América del Sur,20.3,Cálida,8.6,39.1,Medio,8,1116.0,66.0,3.6,599934182
2023,2020s,Argentina,América del Sur,13.0,Templada,6.2,21.3,Medio,0,1472.0,23.7,4.9,935533058
2023,2020s,Argentina,América del Sur,29.0,Cálida,18.3,25.7,Medio,8,2435.0,10.3,4.5,536217615
2023,2020s,Argentina,América del Sur,8.9,Fría,18.1,47.2,Alto,14,2180.0,30.5,3.0,361616455
2000,2000s,Australia,Oceanía,8.3,Fría,12.1,42.4,Alto,13,2195.0,63.2,1.1,353488527
2000,2000s,Australia,Oceanía,11.4,Templada,2.2,12.0,Bajo,4,1071.0,50.9,1.8,1388230143
2000,2000s,Australia,Oceanía,16.1,Templada,17.1,22.3,Medio,12,2834.0,60.3,3.9,753610692
2001,2000s,Australia,Oceanía,18.4,Templada,11.7,20.2,Medio,1,1962.0,58.4,5.0,66141905
2001,2000s,Australia,Oceanía,19.4,Templada,7.3,29.8,Medio,12,1370.0,22.7,1.9,1268489003
2002,2000s,Australia,Oceanía,20.6,Cálida,1.1,20.9,Medio,6,2383.0,65.3,2.6,31674998
2002,2000s,Australia,Oceanía,15.3,Templada,8.3,36.4,Medio,6,2519.0,13.3,1.7,1235851188
2002,2000s,Australia,Oceanía,23.3,Cálida,8.0,22.0,Medio,13,642.0,30.3,4.0,40028538
2002,2000s,Australia,Oceanía,32.9,Muy cálida,18.2,19.6,Bajo,6,1673.0,34.6,3.3,790364317
2003,2000s,Australia,Oceanía,23.1,Cálida,4.7,33.0,Medio,5,2215.0,61.5,4.3,970758730
2003,2000s,Australia,Oceanía,20.0,Cálida,18.6,31.8,Medio,5,2830.0,43.9,1.7,621558597
2003,2000s,Australia,Oceanía,24.1,Cálida,16.9,6.5,Bajo,4,1945.0,26.2,3.6,366223269
2004,2000s,Australia,Oceanía,23.2,Cálida,12.9,5.9,Bajo,4,1361.0,42.7,3.2,1359133613
2004,2000s,Australia,Oceanía,7.7,Fría,8.6,8.3,Bajo,4,534.0,35.1,1.1,1027559585
2004,2000s,Australia,Oceanía,22.8,Cálida,14.1,21.3,Medio,12,1418.0,41.4,2.2,217927603
2004,2000s,Australia,Oceanía,9.2,Fría,1.1,34.4,Medio,0,708.0,34.9,2.5,212718211
2004,2000s,Australia,Oceanía,10.2,Templada,1.7,34.1,Medio,12,1962.0,40.7,2.4,517404742
2005,2000s,Australia,Oceanía,34.4,Muy cálida,4.0,15.6,Bajo,9,2014.0,67.1,4.8,748486965
2006,2000s,Australia,Oceanía,20.4,Cálida,1.8,39.6,Medio,0,773.0,26.3,3.6,174232548
2008,2000s,Australia,Oceanía,20.3,Cálida,4.8,15.5,Bajo,14,2484.0,16.8,2.8,1362033433
2008,2000s,Australia,Oceanía,18.1,Templada,12.2,49.7,Alto,1,1023.0,58.6,3.2,1086928352
2010,2010s,Australia,Oceanía,18.3,Templada,1.9,7.5,Bajo,5,2599.0,48.7,3.5,849496137
2010,2010s,Australia,Oceanía,16.9,Templada,1.0,47.9,Alto,7,1973.0,23.5,3.5,373401883
2010,2010s,Australia,Oceanía,30.3,Muy cálida,9.0,6.2,Bajo,7,2367.0,57.6,4.5,1151520192
2011,2010s,Australia,Oceanía,5.5,Fría,11.7,41.7,Alto,5,880.0,40.9,4.0,966063065
2011,2010s,Australia,Oceanía,19.8,Templada,13.5,12.9,Bajo,1,2053.0,67.6,2.6,444296725
2011,2010s,Australia,Oceanía,17.5,Templada,15.1,19.9,Bajo,5,1613.0,60.1,2.2,1058333501
2011,2010s,Australia,Oceanía,20.8,Cálida,11.4,47.8,Alto,10,2625.0,10.9,2.1,1165547123
2011,2010s,Australia,Oceanía,27.2,Cálida,8.7,49.8,Alto,1,2496.0,23.5,4.6,1028924329
2012,2010s,Australia,Oceanía,16.1,Templada,1.7,8.3,Bajo,12,2784.0,54.8,3.4,393935884
2012,2010s,Australia,Oceanía,18.0,Templada,7.6,42.1,Alto,2,670.0,59.3,4.3,1014270408
2014,2010s,Australia,Oceanía,27.2,Cálida,2.0,34.8,Medio,14,589.0,37.2,3.9,761742932
2015,2010s,Australia,Oceanía,6.2,Fría,1.5,49.8,Alto,6,2271.0,17.0,3.2,428326345
2016,2010s,Australia,Oceanía,8.1,Fría,8.2,33.2,Medio,14,1919.0,54.9,4.7,1297393635
2016,2010s,Australia,Oceanía,24.3,Cálida,15.0,21.8,Medio,4,676.0,19.8,4.4,321328118
2016,2010s,Australia,Oceanía,32.2,Muy cálida,15.8,26.5,Medio,8,1657.0,20.8,4.3,751679888
2016,2010s,Australia,Oceanía,21.0,Cálida,14.9,24.5,Medio,3,1136.0,44.5,3.1,380662109
2017,2010s,Australia,Oceanía,29.0,Cálida,2.4,13.5,Bajo,1,1577.0,43.3,2.2,313504125
2017,2010s,Australia,Oceanía,23.7,Cálida,7.9,6.6,Bajo,5,783.0,32.0,1.4,1190249588
2018,2010s,Australia,Oceanía,5.4,Fría,9.1,25.1,Medio,3,674.0,48.3,2.0,1338375247
2018,2010s,Australia,Oceanía,24.1,Cálida,12.8,6.1,Bajo,1,1801.0,36.0,3.3,717984590
2018,2010s,Australia,Oceanía,10.7,Templada,10.3,35.6,Medio,3,1715.0,11.5,4.3,1020760264
2018,2010s,Australia,Oceanía,34.5,Muy cálida,14.6,7.6,Bajo,6,829.0,27.1,1.3,1211016796
2019,2010s,Australia,Oceanía,23.0,Cálida,7.7,18.0,Bajo,9,2569.0,21.2,4.3,161618848
2019,2010s,Australia,Oceanía,14.9,Templada,13.1,34.0,Medio,8,2286.0,30.3,3.1,519602850
2019,2010s,Australia,Oceanía,23.1,Cálida,9.5,29.1,Medio,9,2369.0,59.5,1.8,165930526
2019,2010s,Australia,Oceanía,21.5,Cálida,5.2,43.4,Alto,14,2373.0,63.2,1.5,714759147
2019,2010s,Australia,Oceanía,17.3,Templada,1.3,41.1,Alto,14,2014.0,36.7,3.4,59676502
2020,2020s,Australia,Oceanía,34.2,Muy cálida,5.9,9.8,Bajo,8,1852.0,10.9,4.8,1332348555
2020,2020s,Australia,Oceanía,6.9,Fría,14.6,42.1,Alto,4,878.0,33.3,3.9,26451115
2020,2020s,Australia,Oceanía,28.5,Cálida,0.8,13.3,Bajo,7,628.0,54.9,4.0,1103288537
2020,2020s,Australia,Oceanía,11.8,Templada,16.1,21.0,Medio,6,1721.0,58.4,1.8,977900597
2021,2020s,Australia,Oceanía,24.9,Cálida,4.9,45.8,Alto,1,2911.0,68.3,4.1,281959311
2022,2020s,Australia,Oceanía,11.1,Templada,11.2,35.3,Medio,8,756.0,12.4,4.1,325979799
2022,2020s,Australia,Oceanía,16.0,Templada,5.8,11.6,Bajo,8,2548.0,65.7,4.4,916438404
2022,2020s,Australia,Oceanía,27.9,Cálida,18.5,10.1,Bajo,13,1677.0,55.9,3.4,748156329
2023,2020s,Australia,Oceanía,11.5,Templada,9.2,15.5,Bajo,5,1910.0,24.4,2.3,1010451727
2000,2000s,Brazil,América del Sur,31.2,Muy cálida,14.6,28.3,Medio,9,803.0,21.7,3.7,255339962
2001,2000s,Brazil,América del Sur,26.7,Cálida,5.1,12.7,Bajo,14,1270.0,26.8,4.6,694412542
2001,2000s,Brazil,América del Sur,7.6,Fría,17.6,28.5,Medio,11,1714.0,62.5,2.3,552246665
2002,2000s,Brazil,América del Sur,11.8,Templada,14.0,44.3,Alto,13,2976.0,51.0,3.0,367803209
2002,2000s,Brazil,América del Sur,19.1,Templada,14.5,37.0,Medio,14,920.0,20.1,3.1,947263298
2002,2000s,Brazil,América del Sur,11.9,Templada,4.7,27.0,Medio,0,2485.0,16.0,2.9,374520492
2003,2000s,Brazil,América del Sur,7.1,Fría,9.4,43.6,Alto,9,1252.0,36.7,1.9,18750431
2003,2000s,Brazil,América del Sur,27.8,Cálida,16.1,25.7,Medio,7,1980.0,45.8,4.7,1047317550
2004,2000s,Brazil,América del Sur,16.4,Templada,10.1,6.6,Bajo,7,1641.0,27.7,3.8,681529141
2005,2000s,Brazil,América del Sur,34.4,Muy cálida,5.0,29.3,Medio,3,2132.0,46.9,3.7,104922177
2006,2000s,Brazil,América del Sur,32.2,Muy cálida,19.4,25.5,Medio,1,2626.0,58.8,3.8,1155260147
2006,2000s,Brazil,América del Sur,9.9,Fría,14.5,35.0,Medio,6,1589.0,50.6,1.8,1082347326
2006,2000s,Brazil,América del Sur,24.6,Cálida,1.3,31.4,Medio,12,2815.0,15.6,2.5,69840394
2007,2000s,Brazil,América del Sur,25.3,Cálida,19.9,39.9,Medio,3,2051.0,24.0,2.3,196111561
2008,2000s,Brazil,América del Sur,32.2,Muy cálida,14.6,48.7,Alto,13,2483.0,48.4,2.6,1107521006
2008,2000s,Brazil,América del Sur,16.6,Templada,8.1,47.1,Alto,4,1110.0,58.7,4.1,698150132
2008,2000s,Brazil,América del Sur,27.4,Cálida,3.9,16.1,Bajo,3,1858.0,48.6,4.5,79510809
2008,2000s,Brazil,América del Sur,19.7,Templada,17.0,20.6,Medio,5,727.0,67.7,3.2,212780506
2008,2000s,Brazil,América del Sur,7.1,Fría,0.7,19.8,Bajo,0,2489.0,45.2,4.4,413504125
2009,2000s,Brazil,América del Sur,31.5,Muy cálida,9.3,23.7,Medio,9,1149.0,15.4,3.6,172465953
2010,2010s,Brazil,América del Sur,34.4,Muy cálida,3.2,40.9,Alto,0,773.0,50.2,3.2,1263782460
2010,2010s,Brazil,América del Sur,13.0,Templada,14.0,17.3,Bajo,1,1115.0,15.6,4.5,1060152685
2010,2010s,Brazil,América del Sur,12.1,Templada,12.3,10.3,Bajo,9,2205.0,34.9,2.2,56127465
2010,2010s,Brazil,América del Sur,5.0,Fría,15.8,21.0,Medio,12,2329.0,32.9,5.0,909090341
2010,2010s,Brazil,América del Sur,17.6,Templada,16.0,18.7,Bajo,4,1920.0,52.3,3.1,584023989
2011,2010s,Brazil,América del Sur,26.7,Cálida,5.6,28.3,Medio,2,1121.0,17.7,4.0,267058271
2011,2010s,Brazil,América del Sur,14.7,Templada,9.2,25.2,Medio,8,880.0,28.3,1.2,661509073
2011,2010s,Brazil,América del Sur,5.3,Fría,17.8,41.2,Alto,5,1621.0,63.0,2.7,1361023908
2011,2010s,Brazil,América del Sur,22.7,Cálida,0.7,43.3,Alto,14,2507.0,43.7,4.6,1297261375
2011,2010s,Brazil,América del Sur,24.7,Cálida,13.6,6.3,Bajo,11,2372.0,18.1,2.8,1091856204
2011,2010s,Brazil,América del Sur,34.2,Muy cálida,18.7,18.6,Bajo,7,2579.0,25.7,3.2,803907356
2011,2010s,Brazil,América del Sur,29.0,Cálida,1.5,7.8,Bajo,13,2471.0,62.5,3.6,959148511
2012,2010s,Brazil,América del Sur,8.2,Fría,19.1,48.6,Alto,4,2308.0,50.8,1.9,294211471
2012,2010s,Brazil,América del Sur,26.8,Cálida,6.9,45.8,Alto,13,2067.0,18.2,3.1,615628540
2012,2010s,Brazil,América del Sur,32.5,Muy cálida,8.8,48.3,Alto,1,2459.0,12.1,1.5,802778534
2013,2010s,Brazil,América del Sur,20.7,Cálida,14.8,29.5,Medio,13,1691.0,51.1,3.1,792568468
2013,2010s,Brazil,América del Sur,28.8,Cálida,17.7,17.8,Bajo,5,2169.0,50.3,4.6,481755340
2013,2010s,Brazil,América del Sur,20.2,Cálida,11.2,21.0,Medio,10,2353.0,29.5,1.7,420231924
2014,2010s,Brazil,América del Sur,24.1,Cálida,12.8,41.1,Alto,4,2440.0,40.8,2.9,246829711
2014,2010s,Brazil,América del Sur,34.9,Muy cálida,17.4,16.6,Bajo,0,2371.0,18.0,2.4,1269827972
2014,2010s,Brazil,América del Sur,30.9,Muy cálida,10.2,12.9,Bajo,11,771.0,48.9,3.5,617520058
2014,2010s,Brazil,América del Sur,6.4,Fría,0.9,46.4,Alto,7,725.0,57.4,3.3,558731629
2015,2010s,Brazil,América del Sur,28.9,Cálida,20.0,12.2,Bajo,7,2017.0,47.8,3.5,1213528698
2015,2010s,Brazil,América del Sur,6.6,Fría,8.6,15.2,Bajo,5,772.0,31.5,4.5,925802277
2016,2010s,Brazil,América del Sur,28.1,Cálida,16.9,26.9,Medio,12,934.0,43.3,4.9,1393981934
2016,2010s,Brazil,América del Sur,18.5,Templada,13.4,46.0,Alto,6,615.0,15.3,1.4,297280556
2016,2010s,Brazil,América del Sur,33.1,Muy cálida,10.3,30.3,Medio,8,1933.0,67.7,2.3,245823381
2016,2010s,Brazil,América del Sur,17.0,Templada,4.9,47.4,Alto,8,1347.0,28.8,4.5,1221021496
2016,2010s,Brazil,América del Sur,26.6,Cálida,0.7,12.7,Bajo,7,1492.0,38.8,2.4,83325440
2017,2010s,Brazil,América del Sur,7.7,Fría,18.2,27.1,Medio,8,1579.0,61.0,1.2,9355425
2017,2010s,Brazil,América del Sur,23.4,Cálida,1.4,13.8,Bajo,10,2795.0,22.4,3.6,958819872
2017,2010s,Brazil,América del Sur,8.8,Fría,10.8,30.8,Medio,0,2052.0,55.5,4.8,1256199697
2018,2010s,Brazil,América del Sur,30.8,Muy cálida,0.6,40.4,Alto,7,2267.0,53.6,2.4,1247636178
2018,2010s,Brazil,América del Sur,16.4,Templada,3.0,9.1,Bajo,5,2164.0,19.8,3.9,446630103
2018,2010s,Brazil,América del Sur,12.0,Templada,12.3,37.6,Medio,3,2832.0,25.0,3.8,856099723
2018,2010s,Brazil,América del Sur,12.5,Templada,18.0,37.3,Medio,8,2394.0,35.8,4.1,32747976
2018,2010s,Brazil,América del Sur,9.8,Fría,0.5,20.6,Medio,5,656.0,51.3,1.0,239135473
2019,2010s,Brazil,América del Sur,21.0,Cálida,19.8,34.7,Medio,5,1519.0,63.4,1.5,341217904
2020,2020s,Brazil,América del Sur,26.7,Cálida,12.2,46.8,Alto,0,762.0,69.1,1.8,1106863791
2020,2020s,Brazil,América del Sur,23.8,Cálida,6.0,25.9,Medio,2,956.0,52.2,3.4,1246729629
2020,2020s,Brazil,América del Sur,21.0,Cálida,12.3,43.4,Alto,10,2556.0,42.6,3.7,1042719729
2020,2020s,Brazil,América del Sur,14.1,Templada,3.3,31.1,Medio,5,1573.0,26.3,2.1,1391047250
2020,2020s,Brazil,América del Sur,31.2,Muy cálida,14.7,37.4,Medio,1,1020.0,27.2,4.1,937363773
2021,2020s,Brazil,América del Sur,27.5,Cálida,14.6,14.8,Bajo,9,2320.0,59.3,3.2,552258722
2022,2020s,Brazil,América del Sur,18.4,Templada,9.5,30.3,Medio,12,1691.0,36.2,4.6,302427829
2023,2020s,Brazil,América del Sur,24.4,Cálida,14.0,49.1,Alto,14,2042.0,40.8,4.3,55101132
2023,2020s,Brazil,América del Sur,14.3,Templada,12.2,10.1,Bajo,7,2661.0,40.0,1.1,743306453
2000,2000s,Canada,América del Norte,23.5,Cálida,7.0,46.5,Alto,5,2006.0,39.0,2.8,584732301
2000,2000s,Canada,América del Norte,14.4,Templada,1.2,16.5,Bajo,14,527.0,52.7,3.1,496479467
2000,2000s,Canada,América del Norte,22.8,Cálida,9.6,14.4,Bajo,12,720.0,30.5,2.5,248996061
2000,2000s,Canada,América del Norte,16.5,Templada,17.6,13.6,Bajo,3,2279.0,46.2,2.2,329517333
2001,2000s,Canada,América del Norte,21.3,Cálida,12.7,21.3,Medio,3,1944.0,26.2,3.3,1189649940
2001,2000s,Canada,América del Norte,21.2,Cálida,14.9,32.9,Medio,0,1048.0,67.3,4.0,535387911
2002,2000s,Canada,América del Norte,27.3,Cálida,19.1,23.9,Medio,9,2052.0,60.0,2.4,66735271
2002,2000s,Canada,América del Norte,18.3,Templada,11.5,21.0,Medio,11,2538.0,12.3,3.5,1386998486
2002,2000s,Canada,América del Norte,15.8,Templada,13.8,12.6,Bajo,12,1826.0,20.3,4.5,614382775
2002,2000s,Canada,América del Norte,12.1,Templada,0.9,42.6,Alto,1,2659.0,17.6,1.5,45925925
2002,2000s,Canada,América del Norte,33.7,Muy cálida,2.4,18.6,Bajo,5,1674.0,29.1,3.3,1146777310
2002,2000s,Canada,América del Norte,19.9,Templada,10.8,20.2,Medio,13,1969.0,27.5,2.0,449460600
2002,2000s,Canada,América del Norte,21.7,Cálida,17.3,14.8,Bajo,14,1831.0,68.5,3.0,461516676
2002,2000s,Canada,América del Norte,32.0,Muy cálida,17.4,47.0,Alto,11,1602.0,38.8,3.0,1182222401
2003,2000s,Canada,América del Norte,11.6,Templada,15.2,31.8,Medio,0,2798.0,58.3,1.9,625984226
2004,2000s,Canada,América del Norte,10.2,Templada,8.4,45.2,Alto,14,941.0,43.4,3.2,152248022
2004,2000s,Canada,América del Norte,15.8,Templada,8.0,35.0,Medio,2,2154.0,65.9,4.9,552912628
2004,2000s,Canada,América del Norte,19.2,Templada,5.5,36.8,Medio,7,1455.0,67.7,1.8,60556258
2004,2000s,Canada,América del Norte,34.2,Muy cálida,0.8,48.3,Alto,6,2744.0,35.7,3.6,94344322
2005,2000s,Canada,América del Norte,8.4,Fría,11.9,24.2,Medio,2,2189.0,39.3,4.7,864707568
2005,2000s,Canada,América del Norte,19.3,Templada,13.0,38.4,Medio,14,1204.0,12.5,4.8,978026054
2005,2000s,Canada,América del Norte,20.6,Cálida,3.5,25.9,Medio,8,2838.0,62.8,4.1,1138205296
2005,2000s,Canada,América del Norte,13.2,Templada,5.9,44.7,Alto,4,2872.0,46.2,3.6,1257944094
2005,2000s,Canada,América del Norte,9.5,Fría,6.3,8.2,Bajo,1,2560.0,69.5,2.3,904452825
2005,2000s,Canada,América del Norte,25.9,Cálida,8.1,15.8,Bajo,9,2361.0,64.8,3.1,393359182
2005,2000s,Canada,América del Norte,16.4,Templada,5.8,19.2,Bajo,10,1045.0,13.6,3.7,700477453
2006,2000s,Canada,América del Norte,31.3,Muy cálida,11.2,40.7,Alto,7,1772.0,20.6,3.6,847822613
2006,2000s,Canada,América del Norte,12.0,Templada,9.4,30.6,Medio,7,2249.0,67.2,1.2,1330161573
2006,2000s,Canada,América del Norte,6.6,Fría,4.9,29.8,Medio,14,1012.0,39.0,2.8,459323770
2007,2000s,Canada,América del Norte,26.7,Cálida,14.7,25.1,Medio,6,876.0,37.0,1.4,475005508
2007,2000s,Canada,América del Norte,32.1,Muy cálida,5.5,12.4,Bajo,12,1388.0,57.6,4.0,73639916
2008,2000s,Canada,América del Norte,5.6,Fría,16.7,17.8,Bajo,14,2655.0,39.8,3.9,428691595
2008,2000s,Canada,América del Norte,10.9,Templada,10.8,13.8,Bajo,14,2957.0,22.8,2.9,416299975
2008,2000s,Canada,América del Norte,27.4,Cálida,13.5,20.0,Medio,8,2999.0,41.8,3.9,108305812
2009,2000s,Canada,América del Norte,24.1,Cálida,15.3,49.4,Alto,8,557.0,43.6,3.2,915322799
2010,2010s,Canada,América del Norte,5.5,Fría,13.7,44.3,Alto,9,2145.0,52.4,4.8,72556185
2012,2010s,Canada,América del Norte,14.0,Templada,1.4,31.4,Medio,14,1229.0,54.1,2.8,1225949571
2012,2010s,Canada,América del Norte,24.2,Cálida,18.0,16.0,Bajo,4,2435.0,67.6,3.3,240259011
2012,2010s,Canada,América del Norte,11.4,Templada,11.6,24.9,Medio,3,1667.0,64.4,2.7,276284677
2012,2010s,Canada,América del Norte,28.5,Cálida,12.3,7.7,Bajo,0,1759.0,12.9,4.6,232840139
2012,2010s,Canada,América del Norte,8.8,Fría,9.5,26.0,Medio,4,1608.0,16.7,2.1,1007525728
2013,2010s,Canada,América del Norte,22.6,Cálida,2.8,17.7,Bajo,7,2580.0,51.9,4.5,531451276
2013,2010s,Canada,América del Norte,11.9,Templada,18.8,36.6,Medio,10,2442.0,43.8,2.0,254618460
2013,2010s,Canada,América del Norte,10.7,Templada,18.7,46.4,Alto,3,1027.0,53.6,4.6,1167788803
2013,2010s,Canada,América del Norte,16.6,Templada,14.6,7.4,Bajo,14,1065.0,32.5,1.5,956249631
2013,2010s,Canada,América del Norte,9.7,Fría,19.1,16.8,Bajo,8,1438.0,24.6,1.8,1141561184
